"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"238289_at",2.10239993835897,7.55736864911969,11.3070098689936,1.14491632660614e-19,3.74415061945755e-17,34.2412561564741
"214752_x_at",2.22974581742943,10.7724205629972,11.3051026814973,1.15597392986985e-19,3.75780977571321e-17,34.2318131650482
"222692_s_at",2.65948233401942,8.45459440211437,11.3027905460635,1.16952300669744e-19,3.77935857779687e-17,34.2203648759152
"229346_at",2.36038948537156,7.01107502120594,11.3000258739599,1.1859330542432e-19,3.80984481714023e-17,34.2066754792903
"219918_s_at",5.2732058755248,7.4588738056638,11.2962660207382,1.20862109614272e-19,3.86002479085627e-17,34.1880576646057
"218751_s_at",-2.3779575891606,9.47720902158963,-11.2914286340218,1.23845239084934e-19,3.9323023500846e-17,34.1641029417983
"212690_at",-1.36948295056134,10.5053422152696,-11.2863936670591,1.27028622645389e-19,4.01006599337148e-17,34.1391683208444
"201761_at",2.27596354448964,10.0749364869747,11.2846972459631,1.28119561395559e-19,4.01158395366352e-17,34.1307668105459
"219499_at",-1.72334306948842,8.97711509323975,-11.2840383665881,1.28545802627784e-19,4.01158395366352e-17,34.1275036702536
"203159_at",-2.56103327717905,10.8135179978588,-11.2773348257387,1.3296406831056e-19,4.12511519344796e-17,34.0943025122586
"205345_at",2.51062562682388,9.02371061819706,11.2762482411606,1.33694429758535e-19,4.12511519344796e-17,34.088920648192
"213938_at",-3.16774779298198,9.21231736109714,-11.2751075958117,1.34465455141273e-19,4.12559657394962e-17,34.0832709455389
"1552519_at",-1.79643504836165,8.6178092139848,-11.2578428943671,1.46694980395091e-19,4.47567204710452e-17,33.9977482209923
"201344_at",-1.06085258520896,9.52267939199266,-11.2546844143306,1.49050065431033e-19,4.50508448986935e-17,33.9821004287907
"238697_at",-2.16821389484447,8.28715581204843,-11.2542007357187,1.49414045644599e-19,4.50508448986935e-17,33.9797041290698
"218039_at",2.88456403828058,9.80086883993755,11.2532478332283,1.50133736867819e-19,4.50508448986935e-17,33.9749831031116
"1552473_at",-1.64743579924441,7.54988589431711,-11.2466821311944,1.55187905692012e-19,4.58123086138263e-17,33.9424527867691
"226167_at",-3.75415718786814,6.5818713167414,-11.2374349430301,1.6259678888706e-19,4.74860878689251e-17,33.8966325808581
"204287_at",-2.47765864825645,10.0932039693612,-11.2321871834693,1.6695792544678e-19,4.85003892682182e-17,33.8706275133966
"208745_at",-1.09050535443828,10.344973196132,-11.2301655818544,1.68669081786962e-19,4.87382252043988e-17,33.8606091222723
